,distr,address,phone,fullname,form,head,latitude,longitude
590,район Капотня,"109649, г. Москва, Капотня, 5-й квартал, дом 29",(495) 355-54-61,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1858»,бюджетное,Стрельцов Владимир Николаевич,37.7944763302,55.6391331865
591,район Хамовники,"119270, г. Москва, ул. Хамовнический Вал,д.6",(499) 242-27-82,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Центр педагогического мастерства»,бюджетное,Ященко Иван Валериевич,37.5761177075,55.7173657497
592,район Метрогородок,"107143, г. Москва, Открытое шоссе, д. 29 А",(499) 167-27-41,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1246»,бюджетное,Дручина Марина Альбертовна,37.7636813805,55.8301072146
593,район Аэропорт,"125315, г. Москва, ул. Усиевича, д. 31",(499) 151-49-07,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж архитектуры и строительства № 7»,бюджетное,Корсаков Сергей Владимирович,37.5193778681,55.8852415812
594,район Измайлово,"105043, г. Москва, ул. Первомайская, д.59, строение 1",(499) 165-52-42,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1290»,бюджетное,Красиков Сергей Владимирович,37.7932390488,55.7939930044
595,район Куркино,"125466, г. Москва, ул. Родионовская, д. 6/7",(499) 401-88-05,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2005»,бюджетное,Савчук Елена Ивановна,37.3956863921,55.894651803
596,Бескудниковский район,"127247, г. Москва, Бескудниковский бульвар, д. 50а",(499) 488-12-75,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования «Бескудниковский»,бюджетное,Юницкая Елена Анатольевна,37.5402417371,55.8756915081
597,район Нагатино-Садовники,"115446, г. Москва, ул.Садовники, д.12",(499) 612-22-94,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 507»,бюджетное,Жданов Владимир Николаевич,37.6709612167,55.6763463658
598,район Беговой,"125284, г. Москва, ул.Беговая, д.19",(495) 945-33-74,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1550»,бюджетное,Лосев Никита Валерьевич,37.5591411454,55.7822911895
599,район Кузьминки,"109443, г. Москва, Есенинский бульвар, дом 14, кор 2",(499) 742-65-70,Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильный образовательный комплекс «Кузьминки»,бюджетное,Пашутина Татьяна Александровна,37.7749714177,55.7008687161
600,Гагаринский район,"107140, г. Москва, 2-й Красносельский переулок, дом 18",(495) 939-89-50,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1525 «Красносельский»,бюджетное,Трегубова Елена Павловна,37.5553607778,55.7027168529
601,район Текстильщики,"109263, г. Москва, Волжский б-р, д.52/29",(499) 179-12-10,Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат № 9 «Московский пансион государственных воспитанниц»,бюджетное,Кальченко Елена Александровна,37.7514935442,55.6961117268
602,Даниловский район,"115280, г. Москва, 1-й Кожуховский проезд, д.17",(495) 675-76-94,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1272»,бюджетное,Крыжановская Елена Игоревна,37.6636685487,55.7035697773
603,район Западное Дегунино,"125599, г. Москва, ул. Бусиновская Горка, д. 7, корп. 2",(495) 486-07-13,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1125 имени Я.Н. Федоренко»,бюджетное,Савин Иван Михайлович,37.4937781536,55.883713911
604,Алтуфьевский район,"127591, г. Москва, Керамический пр-д, д.59",(499) 901-48-00,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автомобильного транспорта № 9»,бюджетное,Шишлов Александр Николаевич,37.5325386656,55.8120624752
605,район Косино-Ухтомский,"111675, г. Москва, ул. Медведева, дом 6",(499) 797-00-30,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2026»,бюджетное,Матвеева Елена Юрьевна,37.9049584676,55.7202222877
606,Бутырский район,"127254, г. Москва, ул. Яблочкова, дом 10",(495) 618-89-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного языка № 1236»,бюджетное,Копылова Ирина Александровна,37.5942412023,55.8153985175
607,район Кунцево,"121615, г. Москва, Рублевское ш., д.24, корп.3",(495) 415-74-24,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1584»,бюджетное,Журавлева Кира Ивановна,37.4369672047,55.7397665901
608,район Тёплый Стан,"117513, г. Москва, Ленинский пр-т, дом 125, корп.4",(905) 713-91-84,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 51»,бюджетное,Гаврилычева Наталья Анатольевна,37.482698279,55.6445960993
609,район Богородское,"107143, г. Москва, ул. Вербная, д. 4, стр. 1",(499) 160-14-43,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Технологический колледж № 21»,бюджетное,Раздобаров Николай Дорофеевич,37.7758950701,55.8246712932
610,Донской район,"117639, г. Москва, Балаклавский пр-т, д.6А",(495) 954-37-93,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1580 при МГТУ имени Н.Э.Баумана»,бюджетное,Граськин Сергей Сергеевич,37.6126444315,55.6419046904
611,район Нагатинский Затон,"115446, г. Москва, ул. Академика Миллионщикова, 20",(499) 617-93-44,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный колледж электромеханики и информационных технологий»,бюджетное,Кулакова Наталья Олеговна,37.6446881282,55.6661494806
612,Головинский район,"125493, г. Москва, ул. Смольная, д. 25",(495) 453-44-25,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1583 имени К. А. Керимова»,бюджетное,Дворянцева Светлана Евгеньевна,37.4944744068,55.8500305696
613,район Тропарёво-Никулино,"119526, г. Москва, просп. Вернадского, д.101, корп.5",(499) 739-56-23,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 875»,бюджетное,Козлова Ирина Станиславовна,37.4913459282,55.6615897087
614,район Измайлово,"105264, г. Москва, Измайловский бульвар, дом 7, строение 1",(499) 463-67-81,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2094»,бюджетное,Рытиков Валентин Павлович,37.785186857,55.797697182
615,Пресненский район,"123022, г. Москва, Б.Трехгорный пер., д.3",(499) 256-29-39,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1241»,бюджетное,Алексеев Антон Григорьевич,37.570003084,55.7555923176
616,район Ново-Переделкино,"119633, г. Москва, ул.Приречная, д.1",(495) 731-26-99,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1596»,бюджетное,Парнов Дмитрий Андреевич,37.372108803,55.6429273901
617,Дмитровский район,"125412, г. Москва, Шоссе Коровинское, дом 24 А",(495) 483-28-75,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 236 имени Героя Советского Союза Г. И. Щедрина»,бюджетное,Романова Елена Вячеславовна,37.5238360624,55.880890347
618,район Богородское,"107258, г. Москва, б-р Рокоссовского маршала, д. 34/2",(499) 160-29-80,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экологии № 390 имени генерала П.И. Батова»,бюджетное,Ярочкина Ирина Анатольевна,37.7275537727,55.8098830886
619,район Бирюлёво Западное,"117403, г. Москва, Востряковский пр., д.13А",(495) 383-85-11,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667,бюджетное,Мартанова Юлия Валентиновна,37.6498429346,55.5777921686
620,район Чертаново Южное,"117556, г. Москва, Варшавское ш., д. 67",(499) 661-94-40,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 504»,бюджетное,Корягин Андрей Михайлович,37.5995249021,55.5814200662
621,Алексеевский район,"127549, г. Москва, ул.Бибиревская, д.6, корп.1",(495) 901-56-38,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический колледж имени П.А. Овчинникова»,бюджетное,Селенков Николай Борисович,37.6515500299,55.823722437
622,район Ясенево,"117463, г. Москва, Новоясеневский проспект, д.38, корп.2",(495) 422-00-44,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1561»,бюджетное,Пазынин Валерий Вячеславович,37.5455580222,55.6019086809
623,Нагорный район,"117556, г. Москва, ул. Фруктовая д.9",(499) 610-56-98,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1450 «Олимп»,бюджетное,Карташова Татьяна Семеновна,37.6123793073,55.6539326052
624,район Коптево,"125239, г. Москва, ул.Новопетровская, д.1А",(495) 459-30-64,Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» № 1679,бюджетное,Просвиркин Владимир Николаевич,37.5190442014,55.8277489101
625,район Некрасовка,"111674, г. Москва, улица Покровская, дом 35",(499) 588-01-77,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2053»,бюджетное,Волкова Ольга Алексеевна,37.9193002308,55.7060102983
626,район Зябликово,"115582, г. Москва, ул.Домодедовская д.35, корп.2",(495) 394-12-44,Государственное автономное общеобразовательное учреждение города Москвы «Центр образования № 548 «Царицыно»,автономное,Рачевский Ефим Лазаревич,37.7172149011,55.6020018764
627,Академический район,"117449, г. Москва, ул. Шверника, д. 17, корп. 2",(499) 126-47-70,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 625»,бюджетное,Алябушева Галина Васильевна,37.5889710324,55.6894856406
628,район Ивановское,"111531, г. Москва, ул.Саянская, д.3А",(495) 300-42-61,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 799»,бюджетное,Безрукова Галина Константиновна,37.8252207249,55.7705759372
629,район Люблино,"109559, г. Москва, ул. Марьинский парк, д. 37",(495) 654-99-33,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2092 имени И.Н.Кожедуба,бюджетное,Кутузова Лариса Сергеевна,37.7896168885,55.667769168
630,Донской район,"117105, г. Москва, Варшавское шоссе, д.12",(495) 952-04-67,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 630 «Лингвистический центр»,бюджетное,Картышова Марина Сергеевна,37.6200911377,55.6973063483
631,район Ростокино,"129128, г. Москва, ул. Ростокинская, д.3",(499) 181-16-17,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1499 имени Героя Советского Союза Ивана Архиповича Докукина»,бюджетное,Матвеева Тамара Александровна,37.6438918824,55.8369393701
632,район Лианозово,"127253, г. Москва, ул. Псковская: д.11",(499) 909-25-21,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1573»,бюджетное,Антипов Александр Сергеевич,37.5496070497,55.9056283223
633,район Вешняки,"119048, г. Москва, улица Савельева, дом 5",(499) 373-20-31,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс дизайна и технологий»,бюджетное,Чистова Екатерина Богдановна,37.7767850888,55.8032224263
634,район Северный,"127204, г. Москва, 9-я Северная линия дом1 корпус2",(499) 761-06-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 709»,бюджетное,Дружинин Владимир Петрович,37.5489733604,55.9153639972
635,район Филёвский Парк,"121096, г. Москва, ул.Кастанаевская, д.9А",(499) 144-37-82,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1816»,бюджетное,Панова Ирина Евгеньевна,37.4914245501,55.7354502553
636,Тимирязевский район,"127422, г. Москва, улица Тимирязевская, дом 14 ""А""",(495) 611-13-29,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Центр образования Тимирязевский»,бюджетное,Глухих Олег Александрович,37.5634654606,55.8187410824
637,Рязанский район,"109456, г. Москва, 4-й Вешняковский проезд, д, 1, стр. 2",(495) 371-63-20,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 329»,бюджетное,Даньшина Наталья Петровна,37.7855609908,55.7222005363
638,район Сокол,"125252, г. Москва, ул.Новопесчаная, д.15",(499) 157-56-34,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1384 имени А.А. Леманского»,бюджетное,Пархоменко Нина Петровна,37.5059990807,55.7988354945
639,район Марфино,"127427, г. Москва, ул. Большая Марфинская, д. 1, корп. 5",(495) 610-79-21,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1494»,бюджетное,Ершова Светлана Владиславовна,37.586619178,55.8444120639
640,район Восточное Измайлово,"105203, г. Москва, Первомайская ул., 111.",(495) 465-25-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1811 «Восточное Измайлово»,бюджетное,Рывкин Александр Аронович,37.814363739,55.7940109484
641,район Ховрино,"125581, г. Москва, ул. Флотская, д. 11",(495) 453-65-56,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 648»,бюджетное,Горбатых Наталья Викторовна,37.4983696839,55.8590604499
642,район Северное Измайлово,"105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3",(499) 464-95-96,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1748 «Вертикаль»,бюджетное,Банчукова Татьяна Алексеевна,37.8208071299,55.8091504837
643,район Митино,"125368, г. Москва, 3-й Митинский переулок, д. 12, корп. 1",(495) 753-04-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1747»,бюджетное,Сотникова Марина Николаевна,37.348973553,55.849190908
644,район Хорошёво-Мнёвники,"123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2",(499) 199-09-64,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 138»,бюджетное,Дробышева Татьяна Ивановна,37.4663353881,55.7823208685
645,район Бибирево,"127549, г. Москва, ул.Мурановская, д.4А",(499) 206-95-11,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1412»,бюджетное,Мусина Эльвира Михайловна,37.6017896927,55.89122306
646,район Кунцево,"121351, г. Москва, ул. Полоцкая, д.21",(495) 417-23-74,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 806»,бюджетное,Вегержинская Альбина Леонидовна,37.4206040612,55.7292971744
647,район Орехово-Борисово Южное,"115582, г. Москва, Каширское ш., д.116, корп.3",(495) 398-79-81,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 544»,бюджетное,Данилкина Татьяна Дмитровна,37.7198711584,55.59654492
648,Даниловский район,"115162, г. Москва, ул. Мытная, дом 50, корп. 3",(495) 952-25-60,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1451»,бюджетное,Макарова Наталья Викторовна,37.6188969856,55.7158051095
649,район Тропарёво-Никулино,"119602, г. Москва, Мичуринский просп., Олимпийская деревня, д.23 и д.23, стр.1",(495) 735-66-08,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 843»,бюджетное,Полуянова Татьяна Александровна,37.4572110191,55.6711185441
650,район Крылатское,"121609, г. Москва, ул. Крылатские холмы, д.23",(495) 413-06-15,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 63»,бюджетное,Скрыпник Сергей Павлович,37.4119036445,55.7534809425
651,район Чертаново Центральное,"117570, г. Москва, ул.Чертановская, д.44А",(495) 387-35-27,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 880»,бюджетное,Пожарова Нина Ивановна,37.5816143743,55.6108603908
652,Войковский район,"125171, г. Москва, ул. Зои и Александра Космодемьянских, д. 4а",(499) 150-26-38,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 717»,бюджетное,Леонтьева Надежда Владимировна,37.5114607911,55.820022989
653,район Строгино,"123060, г. Москва, улица Маршала Конева, дом 10.",(495) 756-55-24,Государственное бюджетное общеобразовательное учреждение города Москвы «Курчатовская школа»,бюджетное,Сивцова Ирина Валентиновна,37.477944396,55.7900196528
654,Алексеевский район,"129301, г. Москва, ул. Ярославская, д. 27",(495) 683-45-70,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 293 имени А.Т. Твардовского»,бюджетное,Глозман Александр Евгеньевич,37.6632199117,55.8237212878
655,район Коптево,"125284, г. Москва, 1-й Боткинский проезд, дом 7А",(495) 450-23-07,Государственное автономное профессиональное образовательное учреждение города Москвы «Политехнический колледж № 8 имени дважды Героя Советского Союза И.Ф. Павлова»,автономное,Куторго Наталья Анатольевна,37.5225880436,55.821684814
656,Ломоносовский район,"119331, г. Москва, улица Крупской, дом 17",(499) 138-38-27,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики и информатики № 7»,бюджетное,Ровенский Артем Михайлович,37.533293669,55.6823171683
657,Головинский район,"125565, г. Москва, Конаковский проезд, д.5",(495) 708-07-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1315»,бюджетное,Харинова Ирина Васильевна,37.4872631094,55.8442922872
658,район Силино,"124575, г. Москва, Зеленоград, корп. 913А",(499) 710-72-20,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 853»,бюджетное,Базылева Лариса Николаевна,37.188754904,55.984037354
659,район Братеево,"115211, г. Москва, Борисовские пруды, д.12, корп.3",(495) 340-83-78,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1998 «Лукоморье»,бюджетное,Котомина Елена Вадимовна,37.7429045962,55.6348923538
660,район Западное Дегунино,"125635, г. Москва, ул.Ангарская, д.22А",(499) 906-84-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2098 «Многопрофильный образовательный центр» имени Героя Советского Союза Л.М. Доватора»,бюджетное,Перфилова Надежда Рафаиловна,37.5144132238,55.8770052929
661,Тверской район,"127051, г. Москва, Трубная ул., д.36",(495) 621-66-50,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2054»,бюджетное,Бородина Ирина Юрьевна,37.6267783793,55.7724710636
662,Даниловский район,"115280, г. Москва, 1-й Автозаводский пр., д.2",(495) 674-59-30,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 494 имени Героя Российской Федерации А.Н. Рожкова»,бюджетное,Миняев Алексей Сергеевич,37.660527333,55.7259773279
663,район Новокосино,"111672, г. Москва, ул. Салтыковская, д.13Б",(495) 701-24-70,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2127»,бюджетное,Буробина Станислава Сергеевна,37.8635066426,55.7376478445
664,Лосиноостровский район,"129345, г. Москва, улица Тайнинская, дом 15, корпус 3",(499) 185-18-42,Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1955»,бюджетное,Климова Оксана Анатольевна,37.687638103,55.8828135819
665,район Строгино,"123458, г. Москва, ул. Таллинская, д. 20, корп. 4",(495) 750-70-45,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1619 имени М.И. Цветаевой»,бюджетное,Ждан Александр Александрович,37.3969174481,55.7973286819
666,район Крылатское,"121614, г. Москва, ул.Крылатские холмы, д.45, корп.2",(495) 412-20-44,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1371»,бюджетное,Бронштейн Илья Михайлович,37.4117628307,55.761532171
667,Хорошёвский район,"125252, г. Москва, Ходынский бульвар, д.7",(499) 740-51-02,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1409,бюджетное,Ильичева Ирина Викторовна,37.5218233283,55.7882823758
668,район Люблино,"109386, г. Москва, ул. Ставропольская, дом 20",(495) 359-12-42,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2121 «Образовательный комплекс имени Маршала Советского Союза С.К. Куркоткина»,бюджетное,Чиркова Елизавета Константиновна,37.750984981,55.6745832656
669,район Нагатино-Садовники,"115230, г. Москва, 1-ый Нагатинский пр., д.16",(499) 611-53-62,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 978»,бюджетное,Хвостова Татьяна Сергеевна,37.6385505488,55.6814547281
670,Красносельский район,"101000, г. Москва, Милютинский пер., д.18, стр.2",(499) 264-30-29,Государственное бюджетное общеобразовательное учреждение города Москвы «Пушкинский лицей № 1500»,бюджетное,Щетнева Елена Евгеньевна,37.6468779358,55.7761711451
671,район Кузьминки,"109439, г. Москва, ул. Академика Скрябина, д. 36, корп. 3",(499) 175-52-75,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2111 «Новая волна»,бюджетное,Островская Татьяна Владимировна,37.7817305246,55.6994252144
672,район Вешняки,"111539, г. Москва, ул. Реутовская, д. 2 А",(495) 370-06-51,Государственное бюджетное общеобразовательное учреждение города Москвы средняя общеобразовательная школа № 892,бюджетное,Зуева Наталья Андреевна,37.8331380217,55.7402256063
673,район Митино,"125430, г. Москва, ул. Митинская, д.48, кор. 2",(495) 751-41-11,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1191»,бюджетное,Васильева Светлана Ильинична,37.3578157779,55.8511314966
674,Можайский район,"121596, г. Москва, Можайское шоссе, д.50",(495) 446-18-04,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 809»,бюджетное,Рудовол Евгения Николаевна,37.4046354766,55.7177368716
675,район Гольяново,"107207, г. Москва, ул. Алтайская , д.10А",(495) 467-62-70,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1078»,бюджетное,Маньковская Екатерина Николаевна,37.821181964,55.8190681732
676,район Савёлки,"124489, г. Москва, Зеленоград, корп.603 А",(499) 762-49-86,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 854»,бюджетное,Курсаков Андрей Викторович,37.2332132404,55.9915106657
677,район Сокол,"125057, г. Москва, Чапаевский переулок, д. 6, стр 1",(499) 157-07-04,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением немецкого языка № 1249»,бюджетное,Альшванг Алла Даниловна,37.5190551505,55.8015263616
678,район Кузьминки,"109462, г. Москва, ул. Маршала Чуйкова, д. 28",(499) 175-32-83,Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 7 «Московский казачий кадетский корпус» имени М.А. Шолохова,бюджетное,Ильин Станислав Геннадьевич,37.7575986568,55.6964126601
679,район Гольяново,"107065, г. Москва, ул.Уссурийская, д.12",(495) 469-36-01,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка и музыки № 368 «Лосиный остров»,бюджетное,Кузина Ольга Федоровна,37.8180837986,55.8214542516
680,район Бирюлёво Западное,"117546, г. Москва, Востряковский проезд, д.3 А",(495) 383-97-81,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1242»,бюджетное,Палехова Ирина Владимировна,37.6430076717,55.5850342832
681,район Соколиная Гора,"107564, г. Москва, Погонный проезд, д. 5",(495) 366-46-16,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж индустрии гостеприимства и менеджмента № 23»,бюджетное,Данилова Зоя Георгиевна,37.7054207525,55.8004734013
682,район Ясенево,"117593, г. Москва, Литовский бульвар дом 3, корпус 3",(495) 425-47-77,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1206»,бюджетное,Кочубей Николай Анатольевич,37.5331234783,55.6110058959
683,район Черёмушки,"117418, г. Москва, ул. Новочеремушкинская, д. 48",(499) 128-19-25,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 19»,бюджетное,Титкова Марина Вячеславовна,37.567672786,55.6727705952
684,Рязанский район,"109117, г. Москва, ул. Васильцовский стан, д. 4",(499) 742-82-31,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1421»,бюджетное,Солощанская Надежда Константиновна,37.7496476745,55.7155969087
685,район Бибирево,"115172, г. Москва, ул.Большие Каменщики, д.7",(499) 206-92-31,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж связи № 54» имени П.М. Вострухина,бюджетное,Павлюк Иван Андреевич,37.7422955096,55.7383255284
686,район Тёплый Стан,"117513, г. Москва, ул.Академика Бакулева, д.20",(495) 438-49-02,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 109»,бюджетное,Ямбург Евгений Шоломович,37.4758880647,55.6407872808
687,район Выхино-Жулебино,"109431, г. Москва, ул. Авиаконструктора Миля, дом 18, корпус 2",(495) 704-30-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1935»,бюджетное,Аверчинкова Ольга Евгеньевна,37.8561356448,55.6794076839
688,район Текстильщики,"109518, г. Москва, Саратовская улица, дом 19",(499) 178-91-26,Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат I вида № 65,бюджетное,Тепаева Юлия Александровна,37.7391051995,55.7157002151
689,Тверской район,"103055, г. Москва, Новослободская ул., д.57, стр.1",(499) 978-35-84,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1540»,бюджетное,Моисеева Марина Владимировна,37.5923080445,55.7910063956
690,Тимирязевский район,"127434, г. Москва, Дмитровское шоссе, дом 5 А",(499) 977-13-40,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 218»,бюджетное,Кочетков Константин Петрович,37.5741598909,55.811346317
691,Пресненский район,"121069, г. Москва, Столовый пер., д.10/2, стр.1",(495) 697-70-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»,бюджетное,Архипова Татьяна Вадимовна,37.5965544203,55.7593874272
692,Войковский район,"125130, г. Москва, ул. Зои и Александра Космодемьянских, д. 19",(495) 450-03-23,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический колледж им. Н.Н. Годовикова»,бюджетное,Михайлов Сергей Владимирович,37.5241330785,55.8250834275
693,Обручевский район,"119421, г. Москва, ул.Обручева, дом 28А",(495) 936-62-27,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 46»,бюджетное,Мансуров Николай Андреевич,37.5157112475,55.6574769388
694,район Хорошёво-Мнёвники,"125363, г. Москва, улица Фабрициуса, дом 26",(000) 000-00-00,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж полиции»,бюджетное,Дашевский Юрий Васильевич,37.4667580658,55.7868021568
695,район Замоскворечье,"115054, г. Москва, 5-й Монетчиковский пер., д.7",(495) 959-22-17,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1259 с углубленным изучением иностранных языков»,бюджетное,Круглова Ольга Семеновна,37.6400744935,55.7399409209
